x,y,z,I
808529.88,6484620.79,499.11,2720.0
808525.0700000001,6484622.26,499.12,3092.0
808525.62,6484625.5200000005,499.12,3138.0
808525.68,6484625.07,499.12,3834.0
808521.68,6484625.49,499.12,4068.0
808525.34,6484623.0,499.12,3007.0
808524.4500000001,6484621.01,499.13,3157.0
808524.54,6484620.5200000005,499.13,3048.0
808533.66,6484609.7700000005,499.13,2767.0
808532.0700000001,6484614.22,499.13,2632.0
808522.01,6484624.83,499.13,3891.0
808536.7000000001,6484600.28,499.13,2970.0
808535.37,6484605.28,499.13,2975.0
808525.5,6484618.51,499.14,3749.0
808525.27,6484618.4,499.14,4294.0
808525.61,6484617.05,499.14,3257.0
808527.3,6484625.16,499.14,3472.0
808521.2000000001,6484625.82,499.14,3818.0
808525.52,6484621.18,499.14,3508.0
808525.5700000001,6484622.57,499.14,3835.0
808525.21,6484617.140000001,499.15000000000003,4328.0
808525.84,6484618.44,499.15000000000003,3320.0
808526.96,6484624.8,499.15000000000003,3172.0
808534.85,6484606.75,499.15000000000003,2500.0
808524.78,6484619.140000001,499.15000000000003,3145.0
808526.64,6484624.87,499.15000000000003,3460.0
808525.76,6484621.28,499.15000000000003,3415.0
808534.42,6484608.23,499.15000000000003,2791.0
808537.67,6484597.82,499.15000000000003,2686.0
808526.63,6484625.23,499.15000000000003,3562.0
808526.86,6484625.76,499.15000000000003,4043.0
808523.8200000001,6484621.11,499.16,3377.0
808528.25,6484623.48,499.16,3593.0
808523.77,6484620.850000001,499.16,3591.0
808527.62,6484625.46,499.16,3059.0
808525.98,6484624.11,499.16,3285.0
808525.96,6484623.97,499.16,3166.0
808525.53,6484615.65,499.16,3104.0
808527.06,6484625.66,499.16,3390.0
808526.25,6484614.92,499.17,3812.0
808521.61,6484624.59,499.17,4345.0
808526.52,6484615.83,499.17,4635.0
808525.3300000001,6484615.65,499.17,3147.0
808356.72,6484608.4,499.17,725.0
808537.75,6484597.38,499.17,2413.0
808526.56,6484617.72,499.17,3559.0
808523.49,6484621.18,499.17,3389.0
808525.92,6484614.68,499.17,3492.0
808522.77,6484622.88,499.17,3115.0
808524.67,6484616.83,499.18,4063.0
808533.13,6484610.37,499.18,3320.0
808526.04,6484619.94,499.18,3797.0
808523.4400000001,6484620.7700000005,499.18,3353.0
808525.4,6484615.23,499.18,3783.0
808525.9500000001,6484614.390000001,499.18,3505.0
808526.18,6484620.19,499.18,3218.0
808524.14,6484619.29,499.18,3483.0
808523.8300000001,6484620.28,499.18,3737.0
808526.24,6484614.61,499.18,3495.0
808526.86,6484618.23,499.18,3333.0
808527.1,6484611.62,499.19,3991.0
808521.01,6484625.3100000005,499.19,3941.0
808526.4400000001,6484620.47,499.19,3323.0
808526.62,6484621.95,499.19,3024.0
808527.14,6484618.640000001,499.19,3439.0
808525.97,6484613.45,499.19,3893.0
808526.85,6484620.96,499.19,3303.0
808526.6,6484623.26,499.19,3143.0
808522.59,6484621.84,499.19,3628.0
808526.77,6484621.91,499.19,3390.0
808524.99,6484615.74,499.19,3089.0
808526.66,6484612.76,499.2,4213.0
808524.22,6484617.2,499.2,4083.0
808524.15,6484617.62,499.2,3797.0
808525.6900000001,6484613.850000001,499.2,3043.0
808526.71,6484614.95,499.2,3870.0
808526.88,6484621.390000001,499.2,3824.0
808527.24,6484623.18,499.2,3533.0
808533.53,6484608.890000001,499.2,2786.0
808527.1900000001,6484618.16,499.2,3776.0
808523.4,6484619.93,499.2,3403.0
808523.93,6484618.09,499.2,4224.0
808526.9,6484616.26,499.2,3580.0
808536.8,6484599.12,499.21000000000004,3624.0
808531.25,6484614.58,499.21000000000004,3019.0
808523.72,6484619.0,499.21000000000004,4196.0
808527.11,6484620.41,499.21000000000004,3132.0
808526.8300000001,6484622.82,499.21000000000004,3492.0
808527.38,6484622.69,499.21000000000004,3380.0
808532.97,6484609.94,499.21000000000004,3114.0
808526.62,6484611.2700000005,499.21000000000004,3297.0
808527.09,6484621.850000001,499.21000000000004,4058.0
808524.73,6484615.38,499.21000000000004,3559.0
808526.96,6484622.0200000005,499.21000000000004,3252.0
808537.31,6484597.99,499.21000000000004,2694.0
808527.21,6484614.41,499.21000000000004,3389.0
808527.81,6484619.44,499.22,3896.0
808529.18,6484620.21,499.22,2792.0
808525.68,6484612.93,499.22,3665.0
808528.24,6484619.99,499.22,3898.0
808528.55,6484620.0600000005,499.22,2783.0
808528.5,6484621.0600000005,499.22,3326.0
808532.56,6484611.600000001,499.22,2852.0
808527.25,6484614.66,499.22,3757.0
808523.53,6484618.49,499.22,4038.0
808528.51,6484619.09,499.22,3233.0
808527.5,6484610.9,499.22,3810.0
808524.2000000001,6484616.29,499.23,3609.0
808522.81,6484620.61,499.23,2785.0
808528.77,6484619.24,499.23,3259.0
808527.55,6484614.36,499.23,3343.0
808536.89,6484598.49,499.23,2974.0
808533.11,6484609.44,499.23,2838.0
808527.46,6484616.68,499.23,3727.0
808527.86,6484617.97,499.23,3745.0
808534.65,6484605.41,499.23,3166.0
808527.63,6484617.44,499.24,3969.0
808530.46,6484615.04,499.24,3136.0
808530.2000000001,6484615.75,499.24,3267.0
808530.9400000001,6484614.5,499.24,3079.0
808523.9,6484616.43,499.24,4121.0
808523.47,6484618.0600000005,499.24,4853.0
808521.43,6484623.09,499.24,3588.0
808535.35,6484603.37,499.24,2800.0
808527.96,6484612.45,499.25,3572.0
808528.55,6484618.13,499.25,3778.0
808529.2000000001,6484618.24,499.25,3228.0
808535.8,6484602.18,499.25,3283.0
808526.06,6484611.59,499.25,3676.0
808529.16,6484617.3,499.25,3364.0
808528.5,6484617.92,499.25,3670.0
808529.49,6484619.29,499.25,2720.0
808527.62,6484609.19,499.25,3127.0
808525.98,6484611.42,499.25,3639.0
808525.73,6484612.54,499.25,3747.0
808527.8200000001,6484609.21,499.26,3653.0
808527.21,6484608.82,499.26,3420.0
808528.5800000001,6484617.66,499.26,3331.0
808527.92,6484609.59,499.26,2961.0
808528.0800000001,6484612.9,499.26,3251.0
808380.02,6484624.59,499.26,405.0
808530.96,6484614.11,499.26,2880.0
808528.15,6484611.04,499.26,3280.0
808522.91,6484618.66,499.26,4202.0
808528.06,6484617.07,499.26,4277.0
808526.68,6484609.48,499.26,3156.0
808528.27,6484614.86,499.27000000000004,3350.0
808521.43,6484622.09,499.27000000000004,3692.0
808532.84,6484609.0600000005,499.27000000000004,2986.0
808536.24,6484600.01,499.27000000000004,2545.0
808527.91,6484608.21,499.27000000000004,3741.0
808531.93,6484612.86,499.27000000000004,2830.0
808528.88,6484611.7,499.27000000000004,3049.0
808528.41,6484617.01,499.27000000000004,3734.0
808528.04,6484607.5,499.27000000000004,4028.0
808528.4,6484604.890000001,499.27000000000004,3763.0
808524.85,6484613.61,499.27000000000004,3285.0
808522.86,6484617.3,499.28000000000003,4308.0
808522.92,6484617.16,499.28000000000003,3593.0
808522.21,6484619.28,499.28000000000003,4169.0
808516.98,6484625.19,499.28000000000003,1310.0
808377.99,6484622.09,499.28000000000003,2237.0
808378.62,6484624.22,499.28000000000003,4350.0
808530.59,6484613.59,499.28000000000003,2951.0
808529.05,6484616.87,499.28000000000003,2918.0
808532.3300000001,6484610.17,499.28000000000003,3390.0
808528.66,6484612.140000001,499.28000000000003,3333.0
808528.06,6484607.25,499.28000000000003,3860.0
808528.22,6484610.0200000005,499.28000000000003,3400.0
808528.73,6484610.37,499.28000000000003,2897.0
808529.09,6484612.7,499.28000000000003,3395.0
808523.9400000001,6484615.24,499.28000000000003,3790.0
808528.64,6484609.890000001,499.28000000000003,3350.0
808528.98,6484609.96,499.28000000000003,3225.0
808528.48,6484609.350000001,499.29,3072.0
808377.5,6484624.34,499.29,2471.0
808516.39,6484625.16,499.29,1493.0
808529.53,6484615.59,499.29,3363.0
808378.78,6484621.58,499.29,2763.0
808377.56,6484624.93,499.29,2147.0
808378.5700000001,6484623.11,499.29,3298.0
808376.62,6484613.95,499.29,865.0
808389.56,6484600.26,499.29,421.0
808377.12,6484623.73,499.29,2367.0
808529.34,6484612.28,499.29,3792.0
808516.9500000001,6484623.63,499.29,1259.0
808528.88,6484609.41,499.29,3382.0
808529.1900000001,6484609.82,499.29,3745.0
808377.78,6484622.67,499.29,2341.0
808528.65,6484605.3,499.29,3739.0
808531.42,6484613.29,499.29,3149.0
808535.53,6484602.11,499.29,3427.0
808530.46,6484614.19,499.29,3457.0
808522.23,6484618.8,499.29,4500.0
808529.1,6484610.390000001,499.29,3373.0
808377.02,6484622.47,499.29,2134.0
808378.52,6484621.59,499.3,2802.0
808390.68,6484606.98,499.3,653.0
808528.37,6484606.73,499.3,3804.0
808378.04,6484621.32,499.3,2369.0
808516.73,6484624.72,499.3,1428.0
808529.92,6484613.42,499.3,4133.0
808528.46,6484603.57,499.3,3486.0
808377.9,6484621.86,499.3,2271.0
808531.97,6484610.17,499.3,2976.0
808377.03,6484625.7,499.3,2061.0
808516.3,6484625.04,499.3,1207.0
808388.62,6484600.82,499.3,937.0
808379.62,6484617.34,499.3,2225.0
808528.9500000001,6484602.53,499.3,3354.0
808528.6900000001,6484607.63,499.3,3759.0
808529.59,6484610.93,499.3,3662.0
808529.03,6484614.5600000005,499.3,3715.0
808523.78,6484614.73,499.3,3923.0
808379.1,6484621.75,499.3,3691.0
808377.1900000001,6484624.67,499.3,2120.0
808529.76,6484612.5600000005,499.3,3054.0
808378.54,6484619.62,499.3,2068.0
808376.68,6484622.67,499.3,2086.0
808388.4500000001,6484601.41,499.3,1154.0
808532.1900000001,6484609.66,499.3,3327.0
808376.98,6484612.2,499.3,717.0
808529.42,6484610.45,499.31,3471.0
808379.34,6484625.32,499.31,4112.0
808379.02,6484618.2700000005,499.31,2227.0
808377.98,6484625.67,499.31,2064.0
808377.39,6484622.0,499.31,2362.0
808378.25,6484620.92,499.31,2788.0
808379.1900000001,6484621.08,499.31,4083.0
808379.11,6484618.19,499.31,2283.0
808377.4500000001,6484622.100000001,499.31,2312.0
808377.4500000001,6484621.67,499.31,2205.0
808378.5700000001,6484618.3100000005,499.31,2320.0
808390.3200000001,6484602.09,499.31,2946.0
808379.36,6484620.99,499.31,3977.0
808379.12,6484618.51,499.31,2416.0
808515.91,6484625.74,499.31,1088.0
808378.6,6484618.8,499.31,2243.0
808378.93,6484616.79,499.31,1903.0
808379.36,6484617.73,499.31,2332.0
808378.96,6484623.8100000005,499.31,4137.0
808377.28,6484623.4,499.31,2319.0
808531.49,6484610.75,499.31,3264.0
808524.42,6484613.24,499.31,3871.0
808382.41,6484609.13,499.31,2811.0
808524.21,6484613.76,499.31,3930.0
808379.0700000001,6484618.5200000005,499.31,2716.0
808517.86,6484622.23,499.31,1269.0
808388.78,6484601.26,499.31,1465.0
808517.4,6484623.08,499.31,1193.0
808378.28,6484625.83,499.31,3012.0
808535.5700000001,6484601.3,499.31,3251.0
808528.41,6484603.05,499.31,3793.0
808527.97,6484604.63,499.31,4286.0
808529.03,6484607.71,499.31,3831.0
808531.35,6484611.2700000005,499.32,3709.0
808529.98,6484611.5600000005,499.32,3527.0
808377.92,6484618.63,499.32,2192.0
808528.9,6484607.22,499.32,3767.0
808377.9500000001,6484619.13,499.32,2276.0
808530.23,6484611.0600000005,499.32,3576.0
808529.73,6484599.05,499.32,2912.0
808528.96,6484606.15,499.32,3703.0
808526.65,6484608.0200000005,499.32,3560.0
808523.28,6484615.32,499.32,3954.0
808515.29,6484625.640000001,499.32,1172.0
808389.18,6484600.26,499.32,1247.0
808377.71,6484621.2,499.32,2068.0
808383.13,6484608.55,499.32,408.0
808379.65,6484615.41,499.32,2337.0
808379.5700000001,6484620.59,499.32,4365.0
808383.91,6484598.03,499.32,707.0
808518.12,6484620.68,499.32,1167.0
808529.86,6484609.21,499.32,3252.0
808523.96,6484613.91,499.32,3642.0
808529.22,6484607.29,499.32,3571.0
808529.3,6484600.79,499.32,3384.0
808379.8300000001,6484616.7,499.32,3153.0
808378.5800000001,6484604.91,499.32,593.0
808380.11,6484615.17,499.32,2446.0
808378.68,6484617.84,499.32,2054.0
808378.21,6484619.33,499.32,2331.0
808377.03,6484622.11,499.32,2562.0
808376.72,6484623.05,499.32,2047.0
808377.8200000001,6484619.69,499.32,2228.0
808379.86,6484615.86,499.32,2427.0
808383.68,6484609.94,499.32,2728.0
808382.61,6484609.57,499.32,2217.0
808379.56,6484623.71,499.32,3983.0
808378.47,6484616.8,499.32,1844.0
808381.62,6484610.88,499.32,2350.0
808384.15,6484610.55,499.32,1685.0
808378.85,6484624.98,499.32,4240.0
808379.14,6484616.88,499.32,2401.0
808378.13,6484619.01,499.32,2630.0
808378.64,6484620.29,499.32,2759.0
808379.9500000001,6484616.3,499.32,2741.0
808377.63,6484618.65,499.32,2527.0
808528.8300000001,6484601.97,499.32,3842.0
808521.11,6484622.98,499.32,4007.0
808530.21,6484609.140000001,499.33,3249.0
808377.1900000001,6484611.7700000005,499.33,1008.0
808376.35,6484621.86,499.33,2266.0
808374.89,6484622.46,499.33,1611.0
808383.97,6484609.36,499.33,2521.0
808529.96,6484608.7,499.33,2770.0
808379.39,6484622.28,499.33,3677.0
808526.81,6484607.65,499.33,3865.0
808377.28,6484618.99,499.33,2142.0
808377.77,6484617.44,499.33,2372.0
808517.31,6484621.8,499.33,1224.0
808380.37,6484614.66,499.33,3353.0
808375.43,6484625.82,499.33,2270.0
808380.1900000001,6484615.23,499.33,2386.0
808381.14,6484611.53,499.33,2558.0
808382.25,6484610.47,499.33,2525.0
808375.72,6484625.04,499.33,2431.0
808381.43,6484609.65,499.33,2467.0
808529.75,6484600.41,499.33,3626.0
808376.43,6484621.58,499.33,2005.0
808376.81,6484621.01,499.33,2022.0
808382.49,6484608.76,499.33,808.0
808379.17,6484622.53,499.33,4639.0
808518.37,6484620.03,499.33,1560.0
808382.17,6484611.08,499.33,2536.0
808516.29,6484622.850000001,499.33,1190.0
808376.96,6484621.09,499.33,2015.0
808534.5700000001,6484604.140000001,499.33,2765.0
808523.1900000001,6484614.9,499.33,3925.0
808392.88,6484600.99,499.33,926.0
808385.86,6484608.0,499.33,2886.0
808528.0800000001,6484603.13,499.33,3419.0
808535.4500000001,6484601.140000001,499.33,2861.0
808533.93,6484605.13,499.33,3341.0
808529.5,6484601.37,499.33,3429.0
808380.55,6484614.37,499.33,3864.0
808524.09,6484613.3100000005,499.33,3593.0
808529.93,6484608.74,499.33,3166.0
808529.88,6484599.94,499.33,3601.0
808526.27,6484608.59,499.33,3251.0
808380.76,6484614.47,499.33,4266.0
808376.3300000001,6484624.29,499.33,2192.0
808382.78,6484610.57,499.33,2515.0
808378.85,6484615.9,499.33,2351.0
808377.04,6484621.0,499.33,2118.0
808530.11,6484610.09,499.33,3613.0
808379.31,6484622.0200000005,499.33,3401.0
808391.51,6484602.0200000005,499.33,2734.0
808381.06,6484607.83,499.33,2301.0
808381.1900000001,6484611.54,499.33,2384.0
808385.41,6484609.5200000005,499.33,2387.0
808379.48,6484613.78,499.33,1943.0
808530.89,6484609.36,499.34000000000003,3445.0
808379.74,6484614.23,499.34000000000003,2321.0
808380.39,6484613.04,499.34000000000003,2494.0
808530.91,6484610.36,499.34000000000003,3295.0
808377.1900000001,6484620.01,499.34000000000003,2322.0
808377.47,6484618.94,499.34000000000003,2626.0
808529.72,6484607.84,499.34000000000003,3882.0
808381.1900000001,6484623.62,499.34000000000003,4517.0
808379.9,6484621.66,499.34000000000003,4287.0
808529.92,6484607.82,499.34000000000003,3899.0
808378.81,6484615.88,499.34000000000003,2156.0
808375.05,6484625.21,499.34000000000003,2298.0
808379.9,6484613.57,499.34000000000003,2259.0
808531.21,6484609.41,499.34000000000003,3591.0
808380.26,6484623.17,499.34000000000003,4242.0
808387.17,6484591.8,499.34000000000003,458.0
808535.88,6484599.45,499.34000000000003,2924.0
808380.18,6484609.04,499.34000000000003,2191.0
808379.9,6484613.8100000005,499.34000000000003,2689.0
808375.3300000001,6484623.79,499.34000000000003,2467.0
808376.29,6484622.05,499.34000000000003,2101.0
808376.39,6484615.29,499.34000000000003,1075.0
808383.75,6484609.36,499.34000000000003,698.0
808379.88,6484620.75,499.34000000000003,4936.0
808379.3300000001,6484614.4,499.34000000000003,1792.0
808528.1,6484602.66,499.34000000000003,3876.0
808389.48,6484608.19,499.34000000000003,1155.0
808380.37,6484610.2700000005,499.34000000000003,1948.0
808381.27,6484612.07,499.34000000000003,3900.0
808378.85,6484614.63,499.34000000000003,2204.0
808380.73,6484612.8,499.34000000000003,3155.0
808376.99,6484619.34,499.34000000000003,2483.0
808380.89,6484623.47,499.34000000000003,3722.0
808376.09,6484623.69,499.34000000000003,2245.0
808517.25,6484619.94,499.34000000000003,1211.0
808382.97,6484610.92,499.34000000000003,2693.0
808517.62,6484624.4,499.34000000000003,1589.0
808515.27,6484624.03,499.34000000000003,1170.0
808381.51,6484609.05,499.34000000000003,2410.0
